feature_call,num_cells,pct_cells,median_umis,stddev_umis
2.CRko.sg_hDMD-INTRON_3.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human,1.0,0.020374898125509373,2980.0,0.0
2.CRko.sg_hDMD-INTRON_3.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0498.Neg_Control_Human,1.0,0.020374898125509373,283.0,0.0
2.CRko.sg_hDMD-INTRON_3.DMD-INTRON|2.CRko.sg_hDMD-INTRON_4.DMD-INTRON,2.0,0.040749796251018745,296.0,118.0
2.CRko.sg_hDMD-INTRON_3.DMD-INTRON|2.CRko.sg_hDMD-INTRON_5.DMD-INTRON,2.0,0.040749796251018745,773.0,714.0
2.CRko.sg_hDMD-INTRON_4.DMD-INTRON,42.0,0.8557457212713936,347.0,478.9703484258726
2.CRko.sg_hDMD-INTRON_4.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human,1.0,0.020374898125509373,1874.0,0.0
2.CRko.sg_hDMD-INTRON_4.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,1.0,0.020374898125509373,1781.0,0.0
2.CRko.sg_hDMD-INTRON_4.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0490.Neg_Control_Human,1.0,0.020374898125509373,301.0,0.0
2.CRko.sg_hDMD-INTRON_4.DMD-INTRON|2.CRko.sg_hREEP5-INTRON_6.REEP5-INTRON|4.CRko.sg_hTNFRSF1A_6.TNFRSF1A,1.0,0.020374898125509373,2907.0,0.0
2.CRko.sg_hDMD-INTRON_4.DMD-INTRON|2.CRko.sg_hREEP5-INTRON_8.REEP5-INTRON,1.0,0.020374898125509373,339.0,0.0
2.CRko.sg_hDMD-INTRON_5.DMD-INTRON,32.0,0.6519967400162999,296.5,732.7930301251507
2.CRko.sg_hDMD-INTRON_5.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0489.Neg_Control_Human,1.0,0.020374898125509373,67.0,0.0
2.CRko.sg_hDMD-INTRON_5.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human,1.0,0.020374898125509373,1780.0,0.0
2.CRko.sg_hDMD-INTRON_5.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,2055.0,0.0
2.CRko.sg_hDMD-INTRON_5.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0498.Neg_Control_Human,1.0,0.020374898125509373,243.0,0.0
2.CRko.sg_hDMD-INTRON_5.DMD-INTRON|2.CRko.sg_hCHAT-INTRON_6.CHAT-INTRON,3.0,0.061124694376528114,252.0,98.16426143063585
2.CRko.sg_hDMD-INTRON_5.DMD-INTRON|2.CRko.sg_hDMD-INTRON_6.DMD-INTRON,1.0,0.020374898125509373,1376.0,0.0
